frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,frame_signal_scores,neareast_neighbour_distances,selections
7.400000000000000000e+01,1.106277407468465981e+02,8.335471120546610990e+00,3.774777088308532789e-03,-1.025689414452510846e+02,1.700703726702024188e-01,0.000000000000000000e+00,1.637416679444017475e+01,1.000000000000000000e+00
7.300000000000000000e+01,6.508199835223398111e+01,2.093874898457182709e+01,-3.631629350860133849e-03,9.848974450708800532e+01,1.761064528167726184e-01,0.000000000000000000e+00,2.281821565418112741e+01,1.000000000000000000e+00
7.500000000000000000e+01,2.051615584038217577e+01,1.776375960794945641e+01,-3.744037968933677622e-03,1.016929868275196043e+02,2.541116782275512076e-01,0.000000000000000000e+00,6.965880100626258731e+00,1.000000000000000000e+00
7.500000000000000000e+01,1.199350367907905905e+02,2.180720369518346757e+01,-3.999373313872206515e-03,1.089691280774189721e+02,2.053655708599876339e-01,0.000000000000000000e+00,1.637416679444017475e+01,1.000000000000000000e+00
7.900000000000000000e+01,1.868585829088858219e+01,8.530870023725483975e+00,-3.370333724735923280e-03,9.104375662742971542e+01,2.204672262702321861e-01,0.000000000000000000e+00,9.412557526738083880e+00,1.000000000000000000e+00
7.900000000000000000e+01,4.012089876511748798e+01,1.294360672118255273e+01,-4.298585305735167818e-03,1.174955963459729418e+02,1.294182996493857818e-01,0.000000000000000000e+00,1.252762269396094830e+01,1.000000000000000000e+00
8.000000000000000000e+01,1.490425378098456655e+01,2.644981859423209158e+01,-3.710730708517733824e-03,1.007438494039798513e+02,2.004640205973444722e-01,0.000000000000000000e+00,1.034123133081609680e+01,1.000000000000000000e+00
8.200000000000000000e+01,1.021804255694320460e+02,1.313775614508806378e+01,-2.954861282532100179e-03,7.920428263825890269e+01,2.176340334820988653e-01,0.000000000000000000e+00,1.602384713621534473e+01,1.000000000000000000e+00
8.300000000000000000e+01,4.906089555165146976e+01,2.171958460509996058e+01,-3.597347082642486042e-03,9.751282285928951410e+01,1.586034888497693807e-01,0.000000000000000000e+00,8.500516735408691460e+00,1.000000000000000000e+00
8.400000000000000000e+01,7.661675189419446497e+01,8.062836995526273753e+00,-2.929077911281180707e-03,7.846954906204582869e+01,2.136315992564908894e-01,0.000000000000000000e+00,1.856231433492314054e+01,1.000000000000000000e+00
8.500000000000000000e+01,1.166163117715502153e+02,6.182983208155405030e+00,-3.745654468163007664e-03,1.017390512559511251e+02,1.508300459317656328e-01,0.000000000000000000e+00,1.602384713621534473e+01,1.000000000000000000e+00
8.600000000000000000e+01,5.885146552419673327e+01,1.344373967634720479e+01,-2.968625490702119906e-03,7.959651318848763424e+01,2.282101184234898161e-01,0.000000000000000000e+00,1.281970630209864304e+01,1.000000000000000000e+00
8.700000000000000000e+01,9.816717302814589985e+00,1.028362528870893300e+01,-3.568892480521422290e-03,9.670196878700120635e+01,1.741858950557138019e-01,0.000000000000000000e+00,2.469065188256708865e+01,1.000000000000000000e+00
9.000000000000000000e+01,3.366412928403263294e+01,2.177564432630661173e+01,-4.483338023084995627e-03,1.227603859428214008e+02,2.263906460557247868e-01,0.000000000000000000e+00,5.886072449053346034e+00,1.000000000000000000e+00
8.800000000000000000e+01,4.090319023545215771e+01,2.410927679092990772e+01,-2.942245406338285952e-03,7.884477542941739614e+01,3.569262849123273629e-01,0.000000000000000000e+00,5.002388633907420612e+00,1.000000000000000000e+00
9.000000000000000000e+01,7.708238680159098521e+01,1.219074092024641409e+01,-2.989616053241691499e-03,8.019466891185425084e+01,2.323096431425127895e-01,0.000000000000000000e+00,1.059518278349046305e+01,1.000000000000000000e+00
9.000000000000000000e+01,8.724026750945489539e+01,2.395938019954880005e+01,-3.296889267007617301e-03,8.895085308294757453e+01,3.351620505665381389e-01,0.000000000000000000e+00,5.640357898536134229e+00,1.000000000000000000e+00
9.100000000000000000e+01,1.059374090798110331e+02,2.446051000031445000e+01,-3.402902926265447773e-03,9.197186202068152738e+01,1.887729903261838871e-01,0.000000000000000000e+00,1.000071659072781394e+01,1.000000000000000000e+00
9.200000000000000000e+01,2.836497490898967655e+01,2.658057071296196483e+01,-3.439977791180951362e-03,9.302836265521406744e+01,3.458844217208465466e-01,0.000000000000000000e+00,7.153205901671904954e+00,1.000000000000000000e+00
9.400000000000000000e+01,6.412274174086356027e+01,1.685422025889208086e+01,-3.653434151204099263e-03,9.911110308659348789e+01,2.151434607618476491e-01,0.000000000000000000e+00,1.025170205546088908e+01,1.000000000000000000e+00
9.200000000000000000e+01,8.217255457774527372e+01,2.148310823036568351e+01,-2.972250778609092630e-03,7.969982088718887780e+01,3.451156550047246307e-01,0.000000000000000000e+00,5.547609925186796964e+00,1.000000000000000000e+00
9.200000000000000000e+01,4.590557744668241469e+01,2.411304953079948632e+01,-3.142914963170572503e-03,8.456313784578377124e+01,3.431515743290342035e-01,0.000000000000000000e+00,5.002388633907420612e+00,1.000000000000000000e+00
9.500000000000000000e+01,1.147544692436381695e+02,1.083991532548701464e+01,-3.577673782545010093e-03,9.695220438950674691e+01,2.440093287609873540e-01,0.000000000000000000e+00,7.842550312147030134e+00,1.000000000000000000e+00
9.600000000000000000e+01,7.885325792210926465e+01,1.703808341672125692e+01,-5.033014301168185593e-03,1.384241877639720428e+02,1.138619850363907782e-01,0.000000000000000000e+00,5.547609925186796964e+00,1.000000000000000000e+00
9.500000000000000000e+01,1.479281815330588046e+01,2.732735175372003766e+01,-3.630291145723268855e-03,9.845161046184050235e+01,1.826716831732202451e-01,0.000000000000000000e+00,1.359268630270297251e+01,1.000000000000000000e+00
9.700000000000000000e+01,6.435447718273930207e+01,6.605137679513589433e+00,-3.455479265700443867e-03,9.347009906351546249e+01,1.916275121248065538e-01,0.000000000000000000e+00,1.025170205546088908e+01,1.000000000000000000e+00
9.500000000000000000e+01,1.079022470632820756e+02,1.465470845088627527e+01,-3.394845836900967865e-03,9.174226388066243487e+01,2.577157420151204859e-01,0.000000000000000000e+00,7.842550312147030134e+00,1.000000000000000000e+00
9.500000000000000000e+01,3.785656012088724509e+01,1.764413460785073084e+01,3.758122813142469182e-03,-1.020943543544895391e+02,2.800929324379262120e-01,0.000000000000000000e+00,5.886072449053346034e+00,1.000000000000000000e+00
9.700000000000000000e+01,9.309888263158694599e+01,1.766107202501428119e+01,-3.156585936327240081e-03,8.495271153263641395e+01,2.346924715230344072e-01,0.000000000000000000e+00,1.157551750442218719e+01,1.000000000000000000e+00
1.030000000000000000e+02,6.953358050983108285e+01,1.044780553500221032e+01,-4.439098016734074025e-03,1.214997044841567373e+02,2.379154419613975779e-01,0.000000000000000000e+00,9.012238366915486409e+00,1.000000000000000000e+00
1.020000000000000000e+02,1.174358514159652316e+02,2.525229701516300551e+01,-3.903166138608722604e-03,1.062275687502546901e+02,1.817135762217968464e-01,0.000000000000000000e+00,3.105251520983757274e+01,1.000000000000000000e+00
1.020000000000000000e+02,8.942993929348544668e+01,1.183858809312605942e+01,-2.502334202917909194e-03,6.630888442588056364e+01,3.187339947592598977e-01,0.000000000000000000e+00,7.763132312974076576e+00,1.000000000000000000e+00
1.030000000000000000e+02,6.166756067322014445e+01,1.484623392616043525e+01,-3.048574998397094241e-03,8.187478731848949565e+01,3.706486379041432633e-01,0.000000000000000000e+00,6.235501790992407756e+00,1.000000000000000000e+00
1.040000000000000000e+02,1.428239692357826307e+01,2.393941066751737523e+01,-3.447105145590600127e-03,9.323146668468238829e+01,2.193932924803466689e-01,0.000000000000000000e+00,3.885674864364103342e+01,1.000000000000000000e+00
1.050000000000000000e+02,6.002758653037206926e+01,2.086220993976448312e+01,-3.016370777750459510e-03,8.095708257093778570e+01,4.428541464410467032e-01,0.000000000000000000e+00,4.273145045974072964e+00,1.000000000000000000e+00
1.050000000000000000e+02,6.953767991707958629e+01,2.321941654994758153e+01,-3.857358456875609361e-03,1.049222141676338964e+02,2.937482890805770408e-01,0.000000000000000000e+00,6.304810938678167886e+00,1.000000000000000000e+00
1.080000000000000000e+02,5.313890092615176286e+01,2.407729414400628087e+01,-3.822714539452870888e-03,1.039349868149993483e+02,2.963410655165751306e-01,0.000000000000000000e+00,7.602023138228218180e+00,1.000000000000000000e+00
1.060000000000000000e+02,8.205410420932854265e+01,9.417166997970912945e+00,-2.996009869602039247e-03,8.037686973867283768e+01,2.385775276452212212e-01,0.000000000000000000e+00,7.763132312974076576e+00,1.000000000000000000e+00
1.100000000000000000e+02,6.418729387759385929e+01,1.988414891436687526e+01,-4.421760867148196404e-03,1.210056579224171145e+02,1.537792209157373691e-01,0.000000000000000000e+00,4.273145045974072964e+00,1.000000000000000000e+00
1.120000000000000000e+02,1.176865166965269509e+02,1.813827376496560362e+01,-3.607967218005906848e-03,9.781545861469543013e+01,1.563085698478177132e-01,0.000000000000000000e+00,1.258279292450518128e+01,1.000000000000000000e+00
1.130000000000000000e+02,1.191147836431837561e+02,5.636804598900949870e+00,-3.370979217598678735e-03,9.106215085814753252e+01,2.604014751000014449e-01,0.000000000000000000e+00,1.258279292450518128e+01,1.000000000000000000e+00
1.120000000000000000e+02,8.846237838677171794e+01,1.854576774291378882e+01,-2.988707474502366821e-03,8.016877767754208151e+01,2.882087486892608297e-01,0.000000000000000000e+00,1.779602444704529063e+01,1.000000000000000000e+00
1.130000000000000000e+02,4.483513055037725792e+01,1.982270595848133254e+01,-3.541177420512411737e-03,9.591218901160996779e+01,2.703985476267553034e-01,0.000000000000000000e+00,9.330279903732725089e+00,1.000000000000000000e+00
1.140000000000000000e+02,1.057211377702210768e+02,1.420598541380644875e+01,-3.934363753778381476e-03,1.071165888531671584e+02,1.943924963806699102e-01,0.000000000000000000e+00,5.621057694824744821e+00,1.000000000000000000e+00
1.170000000000000000e+02,2.991669131758837352e+01,1.922720624700613712e+01,-3.917484753055078088e-03,1.066355978902846857e+02,1.396734659009327695e-01,0.000000000000000000e+00,1.331227504614813917e+01,1.000000000000000000e+00
1.160000000000000000e+02,1.923390109775450441e+01,2.717042096293320341e+01,-3.866154870144559389e-03,1.051728803864168071e+02,1.635827670036957837e-01,0.000000000000000000e+00,1.331227504614813917e+01,1.000000000000000000e+00
1.170000000000000000e+02,1.050791032544629644e+02,8.621714531307667073e+00,-3.054649842411267472e-03,8.204789857783696050e+01,3.327939716489213273e-01,0.000000000000000000e+00,5.621057694824744821e+00,1.000000000000000000e+00
1.200000000000000000e+02,1.122310895241086826e+02,8.648600424758697613e+00,-3.381961985482157419e-03,9.137512033933818145e+01,2.024114535220339350e-01,0.000000000000000000e+00,7.152036804468188791e+00,1.000000000000000000e+00
1.200000000000000000e+02,5.229515612620893705e+01,1.564384421761574728e+01,-3.273686190226708127e-03,8.828964864166350424e+01,3.165761615148299235e-01,0.000000000000000000e+00,2.266354276419169622e+01,1.000000000000000000e+00
1.200000000000000000e+02,8.808564328465354265e+01,1.974178100770415867e+01,-3.599339868341998577e-03,9.756961010209730034e+01,1.751235194158999864e-01,0.000000000000000000e+00,2.030846031054526435e+01,1.000000000000000000e+00
1.280000000000000000e+02,6.470103949946481237e+01,2.544021480545433178e+01,-3.393450184917011503e-03,9.170249280637810330e+01,1.875373596961673606e-01,0.000000000000000000e+00,2.540547424981557612e+01,1.000000000000000000e+00
1.300000000000000000e+02,1.299126092122506471e+01,6.635908532588708830e+00,-3.332759919054662477e-03,8.997303797115068846e+01,2.379799268899329689e-01,0.000000000000000000e+00,8.745722929059477124e+00,1.000000000000000000e+00
1.300000000000000000e+02,1.547223304398855426e+01,1.502235276587060220e+01,-3.206772000555003187e-03,8.638283430778780314e+01,2.270458659295764292e-01,0.000000000000000000e+00,8.745722929059477124e+00,1.000000000000000000e+00
