frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
4.000000000000000000e+01,1.193649846610966847e+02,1.246760461660050190e+01,-3.000705388944715189e-03,9.524029157024394010e+01,9.205729801166440129e-02,2.252582168579101562e+01,0.000000000000000000e+00,3.844504865822737205e+00,0.000000000000000000e+00
4.000000000000000000e+01,6.596209486127544608e+01,2.031071782163768802e+01,-3.690513952425682892e-03,1.173182731330884536e+02,1.422847902650048457e-01,1.903389739990234375e+01,0.000000000000000000e+00,8.597032877538639539e+00,0.000000000000000000e+00
4.000000000000000000e+01,8.413361646733719112e+00,2.651130416393180766e+01,-3.637630221396150314e-03,1.156256788388793808e+02,1.530211052522298942e-01,1.977647590637207031e+01,0.000000000000000000e+00,4.489820378902119380e+00,0.000000000000000000e+00
4.000000000000000000e+01,8.338389142899038120e+01,1.681410043132301624e+01,-3.186860411906502089e-03,1.011983607830141949e+02,3.155571535200489830e-01,1.721848487854003906e+01,0.000000000000000000e+00,6.750293494499450375e+00,0.000000000000000000e+00
4.000000000000000000e+01,7.533979964102053373e+01,2.154556686584317760e+01,-3.524967608341703345e-03,1.120198043607690579e+02,1.957776504631445480e-01,1.787484169006347656e+01,0.000000000000000000e+00,8.986494875566412688e+00,0.000000000000000000e+00
4.100000000000000000e+01,4.734034410131143034e+01,2.297995626439031014e+01,-2.880920386779699336e-03,9.140645822964424383e+01,1.899857692857285230e-01,2.020279502868652344e+01,0.000000000000000000e+00,1.050656499581427994e+01,0.000000000000000000e+00
4.000000000000000000e+01,1.216581893760624666e+02,2.706911571458048016e+01,1.693050566422469672e-03,-5.338755069308981405e+01,3.286883722759491588e-01,2.476321792602539062e+01,0.000000000000000000e+00,1.165393026980212454e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.044100280494769351e+02,2.825440378174719669e+01,-3.191635812373542092e-03,1.013512020335409716e+02,1.490275057714774976e-01,1.854310417175292969e+01,0.000000000000000000e+00,9.797734905534952077e+00,0.000000000000000000e+00
4.200000000000000000e+01,7.986322489860441465e+01,8.662017161662740605e+00,-1.984897492068992981e-03,6.272839014437415273e+01,3.200609948965676965e-01,2.170273399353027344e+01,0.000000000000000000e+00,8.879839776350411995e+00,0.000000000000000000e+00
4.200000000000000000e+01,1.382324853808497949e+02,1.077189504992009361e+01,-3.423781538940886150e-03,1.087812476177581544e+02,1.469677909340727506e-01,1.954954147338867188e+01,0.000000000000000000e+00,1.574642214628978465e+01,0.000000000000000000e+00
4.300000000000000000e+01,2.505369750612336688e+01,6.409760453819840720e+00,-1.749879074456950562e-03,5.520640134101142138e+01,2.874622544490187392e-01,2.487284278869628906e+01,0.000000000000000000e+00,1.240601405144738223e+01,0.000000000000000000e+00
4.300000000000000000e+01,6.226777639737964876e+01,1.078626909221915042e+01,-3.925321110054787177e-03,1.248335003590292729e+02,2.690516384786029169e-01,1.588837814331054688e+01,0.000000000000000000e+00,1.021582657018039875e+01,0.000000000000000000e+00
4.500000000000000000e+01,9.933659840821945863e+01,1.987252326754586207e+01,-2.931985908044809283e-03,9.304085898468684945e+01,1.634003163798544156e-01,1.963545608520507812e+01,0.000000000000000000e+00,6.181680758080936755e+00,0.000000000000000000e+00
4.300000000000000000e+01,2.679143766165549323e+01,2.182743794491292277e+01,-2.132922534937317302e-03,6.746607294551888856e+01,3.379537420455588359e-01,2.267353630065917969e+01,0.000000000000000000e+00,6.363109842806514038e+00,0.000000000000000000e+00
4.500000000000000000e+01,2.834430266173055912e+01,2.799815728411179805e+01,-3.460281994710664479e-03,1.099494795478664315e+02,1.399861928570182990e-01,1.936697578430175781e+01,0.000000000000000000e+00,6.363109842806514038e+00,0.000000000000000000e+00
4.400000000000000000e+01,1.243915166989997090e+01,2.849914261918410574e+01,-1.846810557921607079e-03,5.830878599972391640e+01,3.862255261742626455e-01,2.458712005615234375e+01,0.000000000000000000e+00,4.489820378902119380e+00,0.000000000000000000e+00
4.700000000000000000e+01,1.312927979103587006e+02,2.490662349517415564e+01,-3.993108964971309877e-03,1.270031153656615572e+02,1.255285743551808331e-01,1.860833549499511719e+01,0.000000000000000000e+00,1.422739438815183988e+01,0.000000000000000000e+00
4.500000000000000000e+01,7.771615866238390424e+01,3.021216988837549522e+01,-1.579601983799313854e-03,4.975652050864940179e+01,3.443403369008080084e-01,2.202467536926269531e+01,0.000000000000000000e+00,8.986494875566412688e+00,0.000000000000000000e+00
4.700000000000000000e+01,5.443914990478540972e+01,2.350467236036054075e+01,-3.496502918278615330e-03,1.111087647830148342e+02,1.919990444534438456e-01,1.649509620666503906e+01,0.000000000000000000e+00,4.097883001901372779e+00,0.000000000000000000e+00
4.800000000000000000e+01,1.357161211650733321e+02,1.068446705718556444e+01,-3.335360266689906591e-03,1.059512403927547126e+02,1.352418766009421125e-01,1.986395645141601562e+01,0.000000000000000000e+00,7.678057343114886635e+00,1.000000000000000000e+00
4.800000000000000000e+01,1.054859513290143553e+02,1.924114726995062341e+01,-2.708883891116453668e-03,8.590026596055636787e+01,2.418159316671438797e-01,2.041048622131347656e+01,0.000000000000000000e+00,6.181680758080936755e+00,1.000000000000000000e+00
4.800000000000000000e+01,1.171335477734177317e+02,2.629744578272623912e+01,-2.945865708811526169e-03,9.348509525783073570e+01,1.334784922763363468e-01,2.175870895385742188e+01,0.000000000000000000e+00,1.361829106874565021e+01,1.000000000000000000e+00
4.900000000000000000e+01,6.435320339769927500e+01,7.095512184740176309e+00,-2.252415967445854997e-03,7.129057432093169666e+01,2.166191560770798219e-01,2.375831604003906250e+01,0.000000000000000000e+00,8.895562277231338300e+00,1.000000000000000000e+00
4.900000000000000000e+01,1.249023170927628428e+02,1.048288573971527171e+01,-3.063290173709859628e-03,9.724337734985034842e+01,1.225709840834977582e-01,2.036149406433105469e+01,0.000000000000000000e+00,1.081568275893260456e+01,1.000000000000000000e+00
